Restr,Index,Valor,Se cumple
Rest_est,"(1, 1)",5.0,True
Rest_est,"(1, 2)",7.062,True
Rest_est,"(1, 3)",8.129,True
Rest_est,"(1, 4)",0.364,True
Rest_est,"(1, 5)",0.0,True
R1,"(1, 1)",0.0,True
R1,"(1, 2)",-190.714,True
R1,"(1, 3)",-68.309,True
R1,"(1, 4)",0.0,True
R1,"(1, 5)",-170.782,True
R2,"(1, 1, 1, 2)",1.161,True
R2,"(1, 1, 1, 3)",1.151,True
R2,"(1, 1, 1, 4)",0.622,True
R2,"(1, 1, 1, 5)",0.659,True
R2,"(1, 2, 1, 1)",0.0,True
R2,"(1, 2, 1, 3)",9.353,True
R2,"(1, 2, 1, 4)",0.956,True
R2,"(1, 2, 1, 5)",0.0,True
R2,"(1, 3, 1, 1)",0.0,True
R2,"(1, 3, 1, 2)",2.087,True
R2,"(1, 3, 1, 4)",0.835,True
R2,"(1, 3, 1, 5)",0.77,True
R2,"(1, 4, 1, 1)",0.0,True
R2,"(1, 4, 1, 2)",0.0,True
R2,"(1, 4, 1, 3)",0.0,True
R2,"(1, 4, 1, 5)",0.644,True
R2,"(1, 5, 1, 1)",0.0,True
R2,"(1, 5, 1, 2)",0.0,True
R2,"(1, 5, 1, 3)",0.0,True
R2,"(1, 5, 1, 4)",0.0,True
R3,"(1, 1)",0.0,True
R3,"(1, 2)",0.0,True
R3,"(1, 3)",0.0,True
R3,"(1, 4)",0.0,True
R3,"(1, 5)",-0.0,True
R4,"(1, 1)",-1.407,True
R4,"(1, 2)",-0.0,True
R4,"(1, 3)",-14.942,True
R4,"(1, 4)",-2.133,True
R4,"(1, 5)",-2.073,True
Lg,"(1, 1, 1, 2)",-0.0,True
Lg,"(1, 1, 1, 3)",0.0,True
Lg,"(1, 1, 1, 4)",0.0,True
Lg,"(1, 1, 1, 5)",-0.0,True
Lg,"(1, 2, 1, 1)",-0.0,True
Lg,"(1, 2, 1, 3)",-0.0,True
Lg,"(1, 2, 1, 4)",0.0,True
Lg,"(1, 2, 1, 5)",-0.0,True
Lg,"(1, 3, 1, 1)",0.0,True
Lg,"(1, 3, 1, 2)",-0.0,True
Lg,"(1, 3, 1, 4)",0.0,True
Lg,"(1, 3, 1, 5)",-0.0,True
Lg,"(1, 4, 1, 1)",-0.0,True
Lg,"(1, 4, 1, 2)",-0.0,True
Lg,"(1, 4, 1, 3)",0.0,True
Lg,"(1, 4, 1, 5)",0.0,True
Lg,"(1, 5, 1, 1)",-0.0,True
Lg,"(1, 5, 1, 2)",-0.0,True
Lg,"(1, 5, 1, 3)",-0.0,True
Lg,"(1, 5, 1, 4)",-0.0,True
comp_1,"(1, 1)",0.0,True
comp_4,"(1, 1)",-126682.05900000001,False
comp_1,"(1, 2)",-859547.998,False
comp_4,"(1, 2)",-0.0,True
comp_1,"(1, 3)",-182521.648,False
comp_4,"(1, 3)",-1342254.802,False
comp_1,"(1, 4)",0.0,True
comp_4,"(1, 4)",-185933.61000000002,False
comp_1,"(1, 5)",-79755.194,False
comp_4,"(1, 5)",-193898.055,False
comp_2,"(1, 1, 1, 2)",155156.04,False
comp_2,"(1, 1, 1, 3)",154027.971,False
comp_2,"(1, 1, 1, 4)",56546.642,False
comp_2,"(1, 1, 1, 5)",61193.422000000006,False
comp_2,"(1, 2, 1, 1)",0.0,True
comp_2,"(1, 2, 1, 3)",1266022.08,False
comp_2,"(1, 2, 1, 4)",84788.59599999999,False
comp_2,"(1, 2, 1, 5)",0.0,True
comp_2,"(1, 3, 1, 1)",0.0,True
comp_2,"(1, 3, 1, 2)",278476.75800000003,False
comp_2,"(1, 3, 1, 4)",75738.675,False
comp_2,"(1, 3, 1, 5)",71342.04000000001,False
comp_2,"(1, 4, 1, 1)",0.0,True
comp_2,"(1, 4, 1, 2)",0.0,True
comp_2,"(1, 4, 1, 3)",0.0,True
comp_2,"(1, 4, 1, 5)",116150.552,False
comp_2,"(1, 5, 1, 1)",0.0,True
comp_2,"(1, 5, 1, 2)",0.0,True
comp_2,"(1, 5, 1, 3)",0.0,True
comp_2,"(1, 5, 1, 4)",0.0,True
mu,"(1, 1)",1356.0,True
mu,"(1, 1)",90037.0,True
mu,"(1, 2)",4507.0,True
mu,"(1, 2)",90334.0,True
mu,"(1, 3)",2672.0,True
mu,"(1, 3)",89831.0,True
mu,"(1, 4)",245.0,True
mu,"(1, 4)",87170.0,True
mu,"(1, 5)",467.0,True
mu,"(1, 5)",93535.0,True
mu_2,"(1, 1, 1, 2)",133640.0,True
mu_2,"(1, 1, 1, 3)",133821.0,True
mu_2,"(1, 1, 1, 4)",90911.0,True
mu_2,"(1, 1, 1, 5)",92858.0,True
mu_2,"(1, 2, 1, 1)",137181.0,True
mu_2,"(1, 2, 1, 3)",135360.0,True
mu_2,"(1, 2, 1, 4)",88691.0,True
mu_2,"(1, 2, 1, 5)",90573.0,True
mu_2,"(1, 3, 1, 1)",135362.0,True
mu_2,"(1, 3, 1, 2)",133434.0,True
mu_2,"(1, 3, 1, 4)",90705.0,True
mu_2,"(1, 3, 1, 5)",92652.0,True
mu_2,"(1, 4, 1, 1)",86603.0,True
mu_2,"(1, 4, 1, 2)",86439.0,True
mu_2,"(1, 4, 1, 3)",87475.0,True
mu_2,"(1, 4, 1, 5)",180358.0,True
mu_2,"(1, 5, 1, 1)",92969.0,True
mu_2,"(1, 5, 1, 2)",92805.0,True
mu_2,"(1, 5, 1, 3)",93840.0,True
mu_2,"(1, 5, 1, 4)",182506.0,True
