Restr,Index,Valor,Se cumple
Rest_est,"(1, 1)",20.0,True
Rest_est,"(1, 2)",27.5,True
Rest_est,"(1, 3)",37.5,True
Rest_est,"(2, 1)",20.0,True
Rest_est,"(2, 2)",25.0,True
R1,"(1, 1)",0.0,True
R1,"(1, 2)",0.0,True
R1,"(1, 3)",0.0,True
R1,"(2, 1)",0.0,True
R1,"(2, 2)",-1125.0,True
R2,"(1, 1, 1, 2)",0.0,True
R2,"(1, 1, 1, 3)",0.0,True
R2,"(1, 1, 2, 1)",0.0,True
R2,"(1, 1, 2, 2)",0.0,True
R2,"(1, 2, 1, 1)",0.0,True
R2,"(1, 2, 1, 3)",62.5,True
R2,"(1, 2, 2, 1)",0.0,True
R2,"(1, 2, 2, 2)",4.167,True
R2,"(1, 3, 1, 1)",0.0,True
R2,"(1, 3, 1, 2)",0.0,True
R2,"(1, 3, 2, 1)",0.0,True
R2,"(1, 3, 2, 2)",0.0,True
R2,"(2, 1, 1, 1)",0.0,True
R2,"(2, 1, 1, 2)",10.0,True
R2,"(2, 1, 1, 3)",0.0,True
R2,"(2, 1, 2, 2)",0.0,True
R2,"(2, 2, 1, 1)",0.0,True
R2,"(2, 2, 1, 2)",29.167,True
R2,"(2, 2, 1, 3)",0.0,True
R2,"(2, 2, 2, 1)",0.0,True
R3,"(1, 1)",0.0,True
R3,"(1, 2)",0.0,True
R3,"(1, 3)",0.0,True
R3,"(2, 1)",0.0,True
R3,"(2, 2)",-0.0,True
R4,"(1, 1)",-20.0,True
R4,"(1, 2)",-0.0,True
R4,"(1, 3)",-100.0,True
R4,"(2, 1)",-10.0,True
R4,"(2, 2)",0.0,True
Lg,"(1, 1, 1, 2)",-0.0,True
Lg,"(1, 1, 1, 3)",-0.0,True
Lg,"(1, 1, 2, 1)",0.0,True
Lg,"(1, 1, 2, 2)",0.0,True
Lg,"(1, 2, 1, 1)",0.0,True
Lg,"(1, 2, 1, 3)",0.0,True
Lg,"(1, 2, 2, 1)",0.0,True
Lg,"(1, 2, 2, 2)",0.0,True
Lg,"(1, 3, 1, 1)",-0.0,True
Lg,"(1, 3, 1, 2)",0.0,True
Lg,"(1, 3, 2, 1)",0.0,True
Lg,"(1, 3, 2, 2)",0.0,True
Lg,"(2, 1, 1, 1)",0.0,True
Lg,"(2, 1, 1, 2)",0.0,True
Lg,"(2, 1, 1, 3)",0.0,True
Lg,"(2, 1, 2, 2)",0.0,True
Lg,"(2, 2, 1, 1)",0.0,True
Lg,"(2, 2, 1, 2)",0.0,True
Lg,"(2, 2, 1, 3)",0.0,True
Lg,"(2, 2, 2, 1)",0.0,True
comp_1,"(1, 1)",0.0,True
comp_4,"(1, 1)",-0.0,True
comp_1,"(1, 2)",0.0,True
comp_4,"(1, 2)",-0.0,True
comp_1,"(1, 3)",0.0,True
comp_4,"(1, 3)",-0.0,True
comp_1,"(2, 1)",0.0,True
comp_4,"(2, 1)",-0.0,True
comp_1,"(2, 2)",-0.0,True
comp_4,"(2, 2)",0.0,True
comp_2,"(1, 1, 1, 2)",0.0,True
comp_2,"(1, 1, 1, 3)",0.0,True
comp_2,"(1, 1, 2, 1)",0.0,True
comp_2,"(1, 1, 2, 2)",0.0,True
comp_2,"(1, 2, 1, 1)",0.0,True
comp_2,"(1, 2, 1, 3)",0.0,True
comp_2,"(1, 2, 2, 1)",0.0,True
comp_2,"(1, 2, 2, 2)",0.0,True
comp_2,"(1, 3, 1, 1)",0.0,True
comp_2,"(1, 3, 1, 2)",0.0,True
comp_2,"(1, 3, 2, 1)",0.0,True
comp_2,"(1, 3, 2, 2)",0.0,True
comp_2,"(2, 1, 1, 1)",0.0,True
comp_2,"(2, 1, 1, 2)",0.0,True
comp_2,"(2, 1, 1, 3)",0.0,True
comp_2,"(2, 1, 2, 2)",0.0,True
comp_2,"(2, 2, 1, 1)",0.0,True
comp_2,"(2, 2, 1, 2)",0.0,True
comp_2,"(2, 2, 1, 3)",0.0,True
comp_2,"(2, 2, 2, 1)",0.0,True
mu,"(1, 1)",0.0,True
mu,"(1, 1)",0.0,True
mu,"(1, 2)",1000000.0,True
mu,"(1, 2)",0.0,True
mu,"(1, 3)",0.0,True
mu,"(1, 3)",0.0,True
mu,"(2, 1)",0.0,True
mu,"(2, 1)",0.0,True
mu,"(2, 2)",0.0,True
mu,"(2, 2)",0.0,True
mu_2,"(1, 1, 1, 2)",0.0,True
mu_2,"(1, 1, 1, 3)",0.0,True
mu_2,"(1, 1, 2, 1)",0.0,True
mu_2,"(1, 1, 2, 2)",0.0,True
mu_2,"(1, 2, 1, 1)",0.0,True
mu_2,"(1, 2, 1, 3)",0.0,True
mu_2,"(1, 2, 2, 1)",0.0,True
mu_2,"(1, 2, 2, 2)",0.0,True
mu_2,"(1, 3, 1, 1)",0.0,True
mu_2,"(1, 3, 1, 2)",0.0,True
mu_2,"(1, 3, 2, 1)",0.0,True
mu_2,"(1, 3, 2, 2)",0.0,True
mu_2,"(2, 1, 1, 1)",0.0,True
mu_2,"(2, 1, 1, 2)",0.0,True
mu_2,"(2, 1, 1, 3)",0.0,True
mu_2,"(2, 1, 2, 2)",0.0,True
mu_2,"(2, 2, 1, 1)",0.0,True
mu_2,"(2, 2, 1, 2)",0.0,True
mu_2,"(2, 2, 1, 3)",0.0,True
mu_2,"(2, 2, 2, 1)",0.0,True
