Restr,Index,Valor,Se cumple
Rest_est,"(1, 1)",20.0,True
Rest_est,"(1, 2)",30.104,True
Rest_est,"(1, 3)",44.743,True
Rest_est,"(1, 4)",6.349,True
Rest_est,"(1, 5)",0.0,True
Rest_est,"(2, 1)",20.0,True
Rest_est,"(2, 2)",30.104,True
Rest_est,"(2, 3)",2.331,True
Rest_est,"(2, 4)",2.228,True
Rest_est,"(2, 5)",0.0,True
Rest_est,"(3, 1)",20.0,True
Rest_est,"(3, 2)",58.484,True
Rest_est,"(3, 3)",35.948,True
Rest_est,"(3, 4)",17.917,True
Rest_est,"(3, 5)",26.146,True
R1,"(1, 1)",0.0,True
R1,"(1, 2)",-113.514,True
R1,"(1, 3)",-286.786,True
R1,"(1, 4)",0.0,True
R1,"(1, 5)",-182.544,True
R1,"(2, 1)",0.0,True
R1,"(2, 2)",-113.514,True
R1,"(2, 3)",0.0,True
R1,"(2, 4)",0.0,True
R1,"(2, 5)",-144.014,True
R1,"(3, 1)",0.0,True
R1,"(3, 2)",-83.993,True
R1,"(3, 3)",-84.829,True
R1,"(3, 4)",0.0,True
R1,"(3, 5)",-4640.77,True
R2,"(1, 1, 1, 2)",2.137,True
R2,"(1, 1, 1, 3)",2.556,True
R2,"(1, 1, 1, 4)",2.105,True
R2,"(1, 1, 1, 5)",0.0,True
R2,"(1, 1, 2, 1)",0.0,True
R2,"(1, 1, 2, 2)",2.137,True
R2,"(1, 1, 2, 3)",1.121,True
R2,"(1, 1, 2, 4)",2.229,True
R2,"(1, 1, 2, 5)",0.0,True
R2,"(1, 1, 3, 1)",0.0,True
R2,"(1, 1, 3, 2)",1.586,True
R2,"(1, 1, 3, 3)",1.137,True
R2,"(1, 1, 3, 4)",1.55,True
R2,"(1, 1, 3, 5)",3.442,True
R2,"(1, 2, 1, 1)",0.0,True
R2,"(1, 2, 1, 3)",8.818,True
R2,"(1, 2, 1, 4)",5.037,True
R2,"(1, 2, 1, 5)",0.0,True
R2,"(1, 2, 2, 1)",0.0,True
R2,"(1, 2, 2, 2)",5.676,True
R2,"(1, 2, 2, 3)",1.76,True
R2,"(1, 2, 2, 4)",4.624,True
R2,"(1, 2, 2, 5)",0.0,True
R2,"(1, 2, 3, 1)",0.0,True
R2,"(1, 2, 3, 2)",3.288,True
R2,"(1, 2, 3, 3)",1.98,True
R2,"(1, 2, 3, 4)",3.116,True
R2,"(1, 2, 3, 5)",28.583,True
R2,"(1, 3, 1, 1)",0.0,True
R2,"(1, 3, 1, 2)",5.185,True
R2,"(1, 3, 1, 4)",4.997,True
R2,"(1, 3, 1, 5)",0.0,True
R2,"(1, 3, 2, 1)",0.0,True
R2,"(1, 3, 2, 2)",5.185,True
R2,"(1, 3, 2, 3)",1.621,True
R2,"(1, 3, 2, 4)",5.758,True
R2,"(1, 3, 2, 5)",0.0,True
R2,"(1, 3, 3, 1)",0.0,True
R2,"(1, 3, 3, 2)",2.813,True
R2,"(1, 3, 3, 3)",1.654,True
R2,"(1, 3, 3, 4)",2.702,True
R2,"(1, 3, 3, 5)",64.35,True
R2,"(1, 4, 1, 1)",0.0,True
R2,"(1, 4, 1, 2)",0.0,True
R2,"(1, 4, 1, 3)",0.0,True
R2,"(1, 4, 1, 5)",0.713,True
R2,"(1, 4, 2, 1)",0.0,True
R2,"(1, 4, 2, 2)",0.0,True
R2,"(1, 4, 2, 3)",0.0,True
R2,"(1, 4, 2, 4)",0.0,True
R2,"(1, 4, 2, 5)",0.472,True
R2,"(1, 4, 3, 1)",0.0,True
R2,"(1, 4, 3, 2)",0.0,True
R2,"(1, 4, 3, 3)",0.0,True
R2,"(1, 4, 3, 4)",0.0,True
R2,"(1, 4, 3, 5)",0.0,True
R2,"(1, 5, 1, 1)",0.0,True
R2,"(1, 5, 1, 2)",0.0,True
R2,"(1, 5, 1, 3)",0.0,True
R2,"(1, 5, 1, 4)",0.0,True
R2,"(1, 5, 2, 1)",0.0,True
R2,"(1, 5, 2, 2)",0.0,True
R2,"(1, 5, 2, 3)",0.0,True
R2,"(1, 5, 2, 4)",0.0,True
R2,"(1, 5, 2, 5)",0.46,True
R2,"(1, 5, 3, 1)",0.0,True
R2,"(1, 5, 3, 2)",0.0,True
R2,"(1, 5, 3, 3)",0.0,True
R2,"(1, 5, 3, 4)",0.0,True
R2,"(1, 5, 3, 5)",0.0,True
R2,"(2, 1, 1, 1)",0.0,True
R2,"(2, 1, 1, 2)",2.137,True
R2,"(2, 1, 1, 3)",2.556,True
R2,"(2, 1, 1, 4)",2.105,True
R2,"(2, 1, 1, 5)",0.0,True
R2,"(2, 1, 2, 2)",2.137,True
R2,"(2, 1, 2, 3)",1.121,True
R2,"(2, 1, 2, 4)",2.229,True
R2,"(2, 1, 2, 5)",0.0,True
R2,"(2, 1, 3, 1)",0.0,True
R2,"(2, 1, 3, 2)",1.586,True
R2,"(2, 1, 3, 3)",1.137,True
R2,"(2, 1, 3, 4)",1.55,True
R2,"(2, 1, 3, 5)",3.442,True
R2,"(2, 2, 1, 1)",0.0,True
R2,"(2, 2, 1, 2)",5.676,True
R2,"(2, 2, 1, 3)",8.818,True
R2,"(2, 2, 1, 4)",5.037,True
R2,"(2, 2, 1, 5)",0.0,True
R2,"(2, 2, 2, 1)",0.0,True
R2,"(2, 2, 2, 3)",1.76,True
R2,"(2, 2, 2, 4)",4.624,True
R2,"(2, 2, 2, 5)",0.0,True
R2,"(2, 2, 3, 1)",0.0,True
R2,"(2, 2, 3, 2)",3.288,True
R2,"(2, 2, 3, 3)",1.98,True
R2,"(2, 2, 3, 4)",3.116,True
R2,"(2, 2, 3, 5)",28.583,True
R2,"(2, 3, 1, 1)",0.0,True
R2,"(2, 3, 1, 2)",0.0,True
R2,"(2, 3, 1, 3)",0.0,True
R2,"(2, 3, 1, 4)",0.0,True
R2,"(2, 3, 1, 5)",1.439,True
R2,"(2, 3, 2, 1)",0.0,True
R2,"(2, 3, 2, 2)",0.0,True
R2,"(2, 3, 2, 4)",0.0,True
R2,"(2, 3, 2, 5)",0.973,True
R2,"(2, 3, 3, 1)",0.0,True
R2,"(2, 3, 3, 2)",0.0,True
R2,"(2, 3, 3, 3)",0.0,True
R2,"(2, 3, 3, 4)",0.0,True
R2,"(2, 3, 3, 5)",0.0,True
R2,"(2, 4, 1, 1)",0.0,True
R2,"(2, 4, 1, 2)",0.0,True
R2,"(2, 4, 1, 3)",0.0,True
R2,"(2, 4, 1, 4)",0.0,True
R2,"(2, 4, 1, 5)",0.713,True
R2,"(2, 4, 2, 1)",0.0,True
R2,"(2, 4, 2, 2)",0.0,True
R2,"(2, 4, 2, 3)",0.0,True
R2,"(2, 4, 2, 5)",0.472,True
R2,"(2, 4, 3, 1)",0.0,True
R2,"(2, 4, 3, 2)",0.0,True
R2,"(2, 4, 3, 3)",0.0,True
R2,"(2, 4, 3, 4)",0.0,True
R2,"(2, 4, 3, 5)",0.0,True
R2,"(2, 5, 1, 1)",0.0,True
R2,"(2, 5, 1, 2)",0.0,True
R2,"(2, 5, 1, 3)",0.0,True
R2,"(2, 5, 1, 4)",0.0,True
R2,"(2, 5, 1, 5)",0.534,True
R2,"(2, 5, 2, 1)",0.0,True
R2,"(2, 5, 2, 2)",0.0,True
R2,"(2, 5, 2, 3)",0.0,True
R2,"(2, 5, 2, 4)",0.0,True
R2,"(2, 5, 3, 1)",0.0,True
R2,"(2, 5, 3, 2)",0.0,True
R2,"(2, 5, 3, 3)",0.0,True
R2,"(2, 5, 3, 4)",0.0,True
R2,"(2, 5, 3, 5)",0.0,True
R2,"(3, 1, 1, 1)",0.0,True
R2,"(3, 1, 1, 2)",2.137,True
R2,"(3, 1, 1, 3)",2.556,True
R2,"(3, 1, 1, 4)",2.105,True
R2,"(3, 1, 1, 5)",0.0,True
R2,"(3, 1, 2, 1)",0.0,True
R2,"(3, 1, 2, 2)",2.137,True
R2,"(3, 1, 2, 3)",1.121,True
R2,"(3, 1, 2, 4)",2.229,True
R2,"(3, 1, 2, 5)",0.0,True
R2,"(3, 1, 3, 2)",1.586,True
R2,"(3, 1, 3, 3)",1.137,True
R2,"(3, 1, 3, 4)",1.55,True
R2,"(3, 1, 3, 5)",3.442,True
R2,"(3, 2, 1, 1)",0.0,True
R2,"(3, 2, 1, 2)",8.164,True
R2,"(3, 2, 1, 3)",12.417,True
R2,"(3, 2, 1, 4)",5.969,True
R2,"(3, 2, 1, 5)",0.0,True
R2,"(3, 2, 2, 1)",0.0,True
R2,"(3, 2, 2, 2)",8.164,True
R2,"(3, 2, 2, 3)",2.144,True
R2,"(3, 2, 2, 4)",3.977,True
R2,"(3, 2, 2, 5)",0.0,True
R2,"(3, 2, 3, 1)",0.0,True
R2,"(3, 2, 3, 3)",3.061,True
R2,"(3, 2, 3, 4)",4.574,True
R2,"(3, 2, 3, 5)",28.17,True
R2,"(3, 3, 1, 1)",0.0,True
R2,"(3, 3, 1, 2)",3.703,True
R2,"(3, 3, 1, 3)",5.681,True
R2,"(3, 3, 1, 4)",3.87,True
R2,"(3, 3, 1, 5)",0.0,True
R2,"(3, 3, 2, 1)",0.0,True
R2,"(3, 3, 2, 2)",3.703,True
R2,"(3, 3, 2, 3)",1.362,True
R2,"(3, 3, 2, 4)",5.656,True
R2,"(3, 3, 2, 5)",0.0,True
R2,"(3, 3, 3, 1)",0.0,True
R2,"(3, 3, 3, 2)",2.101,True
R2,"(3, 3, 3, 4)",2.05,True
R2,"(3, 3, 3, 5)",21.026,True
R2,"(3, 4, 1, 1)",0.0,True
R2,"(3, 4, 1, 2)",0.0,True
R2,"(3, 4, 1, 3)",0.0,True
R2,"(3, 4, 1, 4)",0.0,True
R2,"(3, 4, 1, 5)",0.712,True
R2,"(3, 4, 2, 1)",0.0,True
R2,"(3, 4, 2, 2)",0.0,True
R2,"(3, 4, 2, 3)",0.0,True
R2,"(3, 4, 2, 4)",0.0,True
R2,"(3, 4, 2, 5)",0.472,True
R2,"(3, 4, 3, 1)",0.0,True
R2,"(3, 4, 3, 2)",0.0,True
R2,"(3, 4, 3, 3)",0.0,True
R2,"(3, 4, 3, 5)",0.0,True
R2,"(3, 5, 1, 1)",0.0,True
R2,"(3, 5, 1, 2)",3.639,True
R2,"(3, 5, 1, 3)",6.118,True
R2,"(3, 5, 1, 4)",4.094,True
R2,"(3, 5, 1, 5)",5.432,True
R2,"(3, 5, 2, 1)",0.0,True
R2,"(3, 5, 2, 2)",3.639,True
R2,"(3, 5, 2, 3)",1.284,True
R2,"(3, 5, 2, 4)",9.304,True
R2,"(3, 5, 2, 5)",3.578,True
R2,"(3, 5, 3, 1)",0.0,True
R2,"(3, 5, 3, 2)",1.908,True
R2,"(3, 5, 3, 3)",1.118,True
R2,"(3, 5, 3, 4)",1.876,True
R3,"(1, 1)",0.0,True
R3,"(1, 2)",0.0,True
R3,"(1, 3)",0.0,True
R3,"(1, 4)",-0.0,True
R3,"(1, 5)",-0.0,True
R3,"(2, 1)",0.0,True
R3,"(2, 2)",0.0,True
R3,"(2, 3)",0.0,True
R3,"(2, 4)",-0.0,True
R3,"(2, 5)",-0.0,True
R3,"(3, 1)",0.0,True
R3,"(3, 2)",0.0,True
R3,"(3, 3)",0.0,True
R3,"(3, 4)",-0.0,True
R3,"(3, 5)",0.0,True
R4,"(1, 1)",-0.0,True
R4,"(1, 2)",-0.0,True
R4,"(1, 3)",-0.0,True
R4,"(1, 4)",-40.482,True
R4,"(1, 5)",-9.084,True
R4,"(2, 1)",-0.0,True
R4,"(2, 2)",-0.0,True
R4,"(2, 3)",-13.213,True
R4,"(2, 4)",-41.672,True
R4,"(2, 5)",-5.892,True
R4,"(3, 1)",-0.0,True
R4,"(3, 2)",-0.0,True
R4,"(3, 3)",-0.0,True
R4,"(3, 4)",-38.816,True
R4,"(3, 5)",-165.196,True
Lg,"(1, 1, 1, 2)",-0.0,True
