Restr,Index,Valor,Se cumple
Rest_est,"(1, 1)",20.0,True
Rest_est,"(1, 2)",25.0,True
Rest_est,"(1, 3)",32.571,True
Rest_est,"(1, 4)",0.0,True
Rest_est,"(1, 5)",0.0,True
Rest_est,"(2, 1)",20.0,True
Rest_est,"(2, 2)",29.048,True
Rest_est,"(2, 3)",3.125,True
Rest_est,"(2, 4)",4.571,True
Rest_est,"(2, 5)",0.0,True
Rest_est,"(3, 1)",20.0,True
Rest_est,"(3, 2)",42.143,True
Rest_est,"(3, 3)",40.0,True
Rest_est,"(3, 4)",15.0,True
Rest_est,"(3, 5)",62.897,True
R1,"(1, 1)",0.0,True
R1,"(1, 2)",-1250.0,True
R1,"(1, 3)",-0.0,True
R1,"(1, 4)",0.0,True
R1,"(1, 5)",-0.0,True
R1,"(2, 1)",0.0,True
R1,"(2, 2)",0.0,True
R1,"(2, 3)",-0.0,True
R1,"(2, 4)",0.0,True
R1,"(2, 5)",-1176.471,True
R1,"(3, 1)",0.0,True
R1,"(3, 2)",-857.143,True
R1,"(3, 3)",-1000.0,True
R1,"(3, 4)",0.0,True
R1,"(3, 5)",-6289.683,True
R2,"(1, 1, 1, 2)",0.0,True
R2,"(1, 1, 1, 3)",0.0,True
R2,"(1, 1, 1, 4)",0.0,True
R2,"(1, 1, 1, 5)",0.0,True
R2,"(1, 1, 2, 1)",0.0,True
R2,"(1, 1, 2, 2)",0.0,True
R2,"(1, 1, 2, 3)",0.0,True
R2,"(1, 1, 2, 4)",0.0,True
R2,"(1, 1, 2, 5)",0.0,True
R2,"(1, 1, 3, 1)",0.0,True
R2,"(1, 1, 3, 2)",0.0,True
R2,"(1, 1, 3, 3)",0.0,True
R2,"(1, 1, 3, 4)",0.0,True
R2,"(1, 1, 3, 5)",20.0,True
R2,"(1, 2, 1, 1)",0.0,True
R2,"(1, 2, 1, 3)",0.0,True
R2,"(1, 2, 1, 4)",0.0,True
R2,"(1, 2, 1, 5)",0.0,True
R2,"(1, 2, 2, 1)",0.0,True
R2,"(1, 2, 2, 2)",21.429,True
R2,"(1, 2, 2, 3)",0.0,True
R2,"(1, 2, 2, 4)",0.0,True
R2,"(1, 2, 2, 5)",0.0,True
R2,"(1, 2, 3, 1)",0.0,True
R2,"(1, 2, 3, 2)",3.571,True
R2,"(1, 2, 3, 3)",0.0,True
R2,"(1, 2, 3, 4)",0.0,True
R2,"(1, 2, 3, 5)",0.0,True
R2,"(1, 3, 1, 1)",0.0,True
R2,"(1, 3, 1, 2)",0.0,True
R2,"(1, 3, 1, 4)",0.0,True
R2,"(1, 3, 1, 5)",0.0,True
R2,"(1, 3, 2, 1)",0.0,True
R2,"(1, 3, 2, 2)",16.19,True
R2,"(1, 3, 2, 3)",12.5,True
R2,"(1, 3, 2, 4)",0.0,True
R2,"(1, 3, 2, 5)",0.0,True
R2,"(1, 3, 3, 1)",0.0,True
R2,"(1, 3, 3, 2)",0.0,True
R2,"(1, 3, 3, 3)",0.0,True
R2,"(1, 3, 3, 4)",0.0,True
R2,"(1, 3, 3, 5)",71.31,True
R2,"(1, 4, 1, 1)",0.0,True
R2,"(1, 4, 1, 2)",0.0,True
R2,"(1, 4, 1, 3)",0.0,True
R2,"(1, 4, 1, 5)",0.0,True
R2,"(1, 4, 2, 1)",0.0,True
R2,"(1, 4, 2, 2)",0.0,True
R2,"(1, 4, 2, 3)",0.0,True
R2,"(1, 4, 2, 4)",0.0,True
R2,"(1, 4, 2, 5)",0.0,True
R2,"(1, 4, 3, 1)",0.0,True
R2,"(1, 4, 3, 2)",0.0,True
R2,"(1, 4, 3, 3)",0.0,True
R2,"(1, 4, 3, 4)",0.0,True
R2,"(1, 4, 3, 5)",0.0,True
R2,"(1, 5, 1, 1)",0.0,True
R2,"(1, 5, 1, 2)",0.0,True
R2,"(1, 5, 1, 3)",0.0,True
R2,"(1, 5, 1, 4)",0.0,True
R2,"(1, 5, 2, 1)",0.0,True
R2,"(1, 5, 2, 2)",0.0,True
R2,"(1, 5, 2, 3)",0.0,True
R2,"(1, 5, 2, 4)",0.0,True
R2,"(1, 5, 2, 5)",0.0,True
R2,"(1, 5, 3, 1)",0.0,True
R2,"(1, 5, 3, 2)",0.0,True
R2,"(1, 5, 3, 3)",0.0,True
R2,"(1, 5, 3, 4)",0.0,True
R2,"(1, 5, 3, 5)",0.0,True
R2,"(2, 1, 1, 1)",0.0,True
R2,"(2, 1, 1, 2)",0.0,True
R2,"(2, 1, 1, 3)",0.0,True
R2,"(2, 1, 1, 4)",0.0,True
R2,"(2, 1, 1, 5)",0.0,True
R2,"(2, 1, 2, 2)",0.0,True
R2,"(2, 1, 2, 3)",0.0,True
R2,"(2, 1, 2, 4)",20.0,True
R2,"(2, 1, 2, 5)",0.0,True
R2,"(2, 1, 3, 1)",0.0,True
R2,"(2, 1, 3, 2)",0.0,True
R2,"(2, 1, 3, 3)",0.0,True
R2,"(2, 1, 3, 4)",0.0,True
R2,"(2, 1, 3, 5)",-0.0,True
R2,"(2, 2, 1, 1)",0.0,True
R2,"(2, 2, 1, 2)",0.0,True
R2,"(2, 2, 1, 3)",0.0,True
R2,"(2, 2, 1, 4)",41.667,True
R2,"(2, 2, 1, 5)",0.0,True
R2,"(2, 2, 2, 1)",0.0,True
R2,"(2, 2, 2, 3)",0.0,True
R2,"(2, 2, 2, 4)",0.0,True
R2,"(2, 2, 2, 5)",0.0,True
R2,"(2, 2, 3, 1)",0.0,True
R2,"(2, 2, 3, 2)",0.0,True
R2,"(2, 2, 3, 3)",0.0,True
R2,"(2, 2, 3, 4)",25.0,True
R2,"(2, 2, 3, 5)",0.0,True
R2,"(2, 3, 1, 1)",0.0,True
R2,"(2, 3, 1, 2)",0.0,True
R2,"(2, 3, 1, 3)",0.0,True
R2,"(2, 3, 1, 4)",0.0,True
R2,"(2, 3, 1, 5)",0.0,True
R2,"(2, 3, 2, 1)",0.0,True
R2,"(2, 3, 2, 2)",0.0,True
R2,"(2, 3, 2, 4)",0.0,True
R2,"(2, 3, 2, 5)",0.0,True
R2,"(2, 3, 3, 1)",0.0,True
R2,"(2, 3, 3, 2)",0.0,True
R2,"(2, 3, 3, 3)",0.0,True
R2,"(2, 3, 3, 4)",0.0,True
R2,"(2, 3, 3, 5)",0.0,True
R2,"(2, 4, 1, 1)",0.0,True
R2,"(2, 4, 1, 2)",0.0,True
R2,"(2, 4, 1, 3)",0.0,True
R2,"(2, 4, 1, 4)",0.0,True
R2,"(2, 4, 1, 5)",0.0,True
R2,"(2, 4, 2, 1)",0.0,True
R2,"(2, 4, 2, 2)",0.0,True
R2,"(2, 4, 2, 3)",0.0,True
R2,"(2, 4, 2, 5)",0.0,True
R2,"(2, 4, 3, 1)",0.0,True
R2,"(2, 4, 3, 2)",0.0,True
R2,"(2, 4, 3, 3)",0.0,True
R2,"(2, 4, 3, 4)",0.0,True
R2,"(2, 4, 3, 5)",0.0,True
R2,"(2, 5, 1, 1)",0.0,True
R2,"(2, 5, 1, 2)",0.0,True
R2,"(2, 5, 1, 3)",0.0,True
R2,"(2, 5, 1, 4)",0.0,True
R2,"(2, 5, 1, 5)",2.941,True
R2,"(2, 5, 2, 1)",0.0,True
R2,"(2, 5, 2, 2)",0.0,True
R2,"(2, 5, 2, 3)",0.0,True
R2,"(2, 5, 2, 4)",0.0,True
R2,"(2, 5, 3, 1)",0.0,True
R2,"(2, 5, 3, 2)",0.0,True
R2,"(2, 5, 3, 3)",0.0,True
R2,"(2, 5, 3, 4)",0.0,True
R2,"(2, 5, 3, 5)",0.0,True
R2,"(3, 1, 1, 1)",0.0,True
R2,"(3, 1, 1, 2)",0.0,True
R2,"(3, 1, 1, 3)",0.0,True
R2,"(3, 1, 1, 4)",0.0,True
R2,"(3, 1, 1, 5)",0.0,True
R2,"(3, 1, 2, 1)",0.0,True
R2,"(3, 1, 2, 2)",0.0,True
R2,"(3, 1, 2, 3)",0.0,True
R2,"(3, 1, 2, 4)",0.0,True
R2,"(3, 1, 2, 5)",0.0,True
R2,"(3, 1, 3, 2)",0.0,True
R2,"(3, 1, 3, 3)",0.0,True
R2,"(3, 1, 3, 4)",0.0,True
R2,"(3, 1, 3, 5)",20.0,True
R2,"(3, 2, 1, 1)",0.0,True
R2,"(3, 2, 1, 2)",0.0,True
R2,"(3, 2, 1, 3)",45.714,True
R2,"(3, 2, 1, 4)",0.0,True
R2,"(3, 2, 1, 5)",0.0,True
R2,"(3, 2, 2, 1)",0.0,True
R2,"(3, 2, 2, 2)",0.0,True
R2,"(3, 2, 2, 3)",0.0,True
R2,"(3, 2, 2, 4)",0.0,True
R2,"(3, 2, 2, 5)",0.0,True
R2,"(3, 2, 3, 1)",0.0,True
R2,"(3, 2, 3, 3)",0.0,True
R2,"(3, 2, 3, 4)",0.0,True
R2,"(3, 2, 3, 5)",0.0,True
R2,"(3, 3, 1, 1)",0.0,True
R2,"(3, 3, 1, 2)",0.0,True
R2,"(3, 3, 1, 3)",21.714,True
R2,"(3, 3, 1, 4)",0.0,True
R2,"(3, 3, 1, 5)",0.0,True
R2,"(3, 3, 2, 1)",0.0,True
R2,"(3, 3, 2, 2)",0.0,True
R2,"(3, 3, 2, 3)",0.0,True
R2,"(3, 3, 2, 4)",18.286,True
R2,"(3, 3, 2, 5)",0.0,True
R2,"(3, 3, 3, 1)",0.0,True
R2,"(3, 3, 3, 2)",0.0,True
R2,"(3, 3, 3, 4)",0.0,True
R2,"(3, 3, 3, 5)",0.0,True
R2,"(3, 4, 1, 1)",0.0,True
R2,"(3, 4, 1, 2)",0.0,True
R2,"(3, 4, 1, 3)",0.0,True
R2,"(3, 4, 1, 4)",0.0,True
R2,"(3, 4, 1, 5)",0.0,True
R2,"(3, 4, 2, 1)",0.0,True
R2,"(3, 4, 2, 2)",0.0,True
R2,"(3, 4, 2, 3)",0.0,True
R2,"(3, 4, 2, 4)",0.0,True
R2,"(3, 4, 2, 5)",0.0,True
R2,"(3, 4, 3, 1)",0.0,True
R2,"(3, 4, 3, 2)",0.0,True
R2,"(3, 4, 3, 3)",0.0,True
R2,"(3, 4, 3, 5)",0.0,True
R2,"(3, 5, 1, 1)",0.0,True
R2,"(3, 5, 1, 2)",0.0,True
R2,"(3, 5, 1, 3)",0.0,True
R2,"(3, 5, 1, 4)",0.0,True
R2,"(3, 5, 1, 5)",7.059,True
R2,"(3, 5, 2, 1)",0.0,True
R2,"(3, 5, 2, 2)",0.0,True
R2,"(3, 5, 2, 3)",0.0,True
R2,"(3, 5, 2, 4)",0.0,True
R2,"(3, 5, 2, 5)",4.706,True
R2,"(3, 5, 3, 1)",0.0,True
R2,"(3, 5, 3, 2)",0.0,True
R2,"(3, 5, 3, 3)",0.0,True
R2,"(3, 5, 3, 4)",0.0,True
R3,"(1, 1)",0.0,True
R3,"(1, 2)",0.0,True
R3,"(1, 3)",-0.0,True
R3,"(1, 4)",-0.0,True
R3,"(1, 5)",0.0,True
